Organ;Sichtbarkeit
Schädel;Auf allen Bildern sichtabr
Wirbelsäule;Auf allen Bildern sichtabr
Rippen;Auf allen Bildern sichtabr
Pfoten;Insbesondere in der Lateral (Dexter & Senistera) ansicht gut sichtabr
Schulterblätter;Sichtbar in der frontalebenen ansicht
Muskulatur;CT Besitzt einen Schlechten Weichgewebe Kontrast deshalb nur erahnabr
Haut/Fell ;Nur als aussenkontur erkenbar
Ohren;Nur als  Schaten erkenbar(Dünner Knorpel wenig absorbation der Röntgenstrahlung
 Gehörgänge;Zu eranen aber nicht definitv zu erkennen
 Kochlea;Zu eranen aber nicht definitv zu erkennen
Augen;Nein
Nasenmuscheln ;Abgeschnitten
Mahlzähne;Insbesondere in der Lateral (Dexter & Senistera) ansicht gut sichtabr
Zunge ;Nein, wegen der geringen Röntgen absorbation
Mundhöhle;Nur als aussenkontur erkenbar
Knorpel;Eranbar
Lunge ;Nein
Markknochenn;
Herz;Nein
Zwerchfell ;Ja als Schaten in den Aufnahemn am Untern Bildrand
Magen ;Nein
Brustbei;Ja in der Frontal Ansicht gut zu erkennen.
Leber;Nein 
Nagezähne;JA   
Nebenhöhlen  ;Ja 
 Trachea;Nein 
