Organ;Sichtbarkeit (Praktikum 4);Sichtbarkeit (Praktikum 5)
Schädel;Auf allen Bildern sichtabr;Sichtbar im Knochenfenster(300-500)
Wirbelsäule;Auf allen Bildern sichtabr;Sichtbar im Knochenfenster(300-500)
Rippen;Auf allen Bildern sichtabr;Sichtbar im Knochenfenster(300-500)
Pfoten;Insbesondere in der Lateral (Dexter & Senistera) ansicht gut sichtabr;Sichtbar bei einem Kontrast von 50-200
Schulterblätter;Sichtbar in der frontalebenen ansicht;Sichtbar im Knochenfenster(300-500)
Muskulatur;CT Besitzt einen Schlechten Weichgewebe Kontrast deshalb nur erahnabr;CT Besitzt einen Schlechten Weichgewebe Kontrast deshalb nur erahnabr
Haut/Fell ;Nur als aussenkontur erkenbar;Nur als aussenkontur erkenbar
Ohren;Nur als  Schaten erkenbar(Dünner Knorpel wenig absorbation der Röntgenstrahlung;Nur als  Schaten erkenbar(Dünner Knorpel wenig absorbation der Röntgenstrahlung
 Gehörgänge;Zu eranen aber nicht definitv zu erkennen;Sichtbar im Knochenfenster(300-500) Seitlich am Schädel
 Kochlea;Zu eranen aber nicht definitv zu erkennen;Zu eranen aber nicht definitv zu erkennen
Augen;Nein;Nein
Nasenmuscheln ;Abgeschnitten;Abgeschnitten
Mahlzähne;Insbesondere in der Lateral (Dexter & Senistera) ansicht gut sichtabr;Sichtbar im Knochenfenster(300-500) Frontal am Schädel
Zunge ;Nein, wegen der geringen Röntgen absorbation;Nein, wegen der geringen Röntgen absorbation
Mundhöhle;Nur als aussenkontur erkenbar;Nur als aussenkontur erkenbar
Knorpel;Eranbar;Eranbar
Lunge ;Nein;Nein
Markknochenn;;
Herz;Nein;Nein
Zwerchfell ;Ja als Schaten in den Aufnahemn am Untern Bildrand;Ja als Schaten in den Aufnahemn am Untern Bildrand
Magen ;Nein;Nein
Brustbei;Ja in der Frontal Ansicht gut zu erkennen.;Sichtbar im Knochenfenster(300-500)
Leber;Nein ;Im Weichgewebe Fenster (0-240) Im Sagitalschnit erkenbar
Nagezähne;JA   ;Sichtbar im Knochenfenster(300-500)
Nebenhöhlen  ;Ja ;Ja 
 Trachea;Nein ;Ja im Saitalschnit bei einem Kontrast von 50 -200
